Tipo de atividade,Data,Favorito,Título,Distância,Calorias,Tempo,FC Média,FC máxima,Training Effect Aeróbico,Ritmo médio,Melhor ritmo,Subida total,Descida total,Comprimento médio da passada,Proporção de média vertical,Oscilação vertical média,Training Stress Score®,Granularidade,Fluxo,Total de braçadas,Média de Swolf,Taxa média de braçadas,Tempo de mergulho,Temp mínima,Intervalo de superfície,Descompressão,Tempo da melhor volta,Número de voltas,Temp máxima,Tempo em movimento,Duração
Natação em piscina,2021-08-20 17:06:55,false,"Natação em piscina","4,200","742","01:52:48","--","--","--","1:38","1:10","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1792","35","26","0:00","29.0","0:00","Não","00:06.36","52","0.0","00:00:00","01:58:42"
Natação em piscina,2021-08-18 14:44:13,false,"Natação em piscina","2,800","503","00:52:22","--","--","--","1:34","1:08","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1188","34","27","0:00","31.0","0:00","Não","00:10.44","42","0.0","00:00:00","00:52:50"
Natação em piscina,2021-08-16 11:52:46,false,"Natação em piscina","4,225","746","01:25:10","--","--","--","1:36","0:51","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1842","35","27","0:00","30.0","0:00","Não","00:02.70","78","0.0","00:00:00","01:25:27"
Natação em piscina,2021-08-11 11:14:32,false,"NataÃ§Ã£o em piscina","4,800","823","01:31:24","--","--","--","1:36","0:48","--","--","0.00","0.0","0.0","0.0","0.0","0.0","2094","35","27","0:00","30.0","0:00","Não","00:02.52","36","0.0","00:00:00","01:32:27"
Natação em piscina,2021-08-04 14:47:59,false,"Natação em piscina","3,700","671","01:02:07","--","--","--","1:32","0:48","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1638","34","29","0:00","28.0","0:00","Não","00:02.78","15","0.0","00:56:34","01:04:45"
Natação em piscina,2021-08-04 10:07:25,false,"Natação em piscina","2,675","461","00:49:44","--","--","--","1:42","1:12","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1229","37","27","0:00","27.0","0:00","Não","00:03.16","18","0.0","00:45:15","00:51:14"
Natação em piscina,2021-08-02 17:03:01,false,"Natação em piscina","4,025","725","01:19:16","--","--","--","1:40","0:51","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1896","37","28","0:00","27.0","0:00","Não","00:04.34","30","0.0","01:06:46","01:28:10"
Natação em piscina,2021-08-02 12:08:07,false,"Natação em piscina","2,800","483","00:54:03","--","--","--","1:48","1:06","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1212","38","24","0:00","27.0","0:00","Não","00:03.55","11","0.0","00:50:34","00:54:20"
Natação em piscina,2021-07-27 13:23:03,false,"Natação em piscina","4,650","855","01:33:46","--","--","--","1:32","0:49","--","--","0.00","0.0","0.0","0.0","0.0","0.0","2085","34","29","0:00","28.0","0:00","Não","00:18.93","32","0.0","01:11:04","01:33:53"
Natação em piscina,2021-07-23 17:35:02,false,"Natação em piscina","4,525","801","01:26:04","--","--","--","1:34","1:03","--","--","0.00","0.0","0.0","0.0","0.0","0.0","2063","35","29","0:00","25.0","0:00","Não","00:01.54","29","0.0","01:11:00","01:37:09"
Natação em piscina,2021-07-23 12:29:36,false,"Natação em piscina","2,025","341","00:45:24","--","--","--","1:42","1:17","--","--","0.00","0.0","0.0","0.0","0.0","0.0","888","36","26","0:00","27.0","0:00","Não","00:01.82","38","0.0","00:34:26","00:45:41"
Natação em piscina,2021-07-22 17:04:05,false,"Natação em piscina","4,200","767","01:25:25","--","--","--","1:33","0:50","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1839","34","28","0:00","27.0","0:00","Não","00:02.87","58","0.0","01:04:59","01:26:53"
Natação em piscina,2021-07-20 16:58:33,false,"Natação em piscina","3,850","686","01:10:56","--","--","--","1:36","0:49","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1743","35","28","0:00","27.0","0:00","Não","00:04.28","12","0.0","01:01:38","01:11:19"
Natação em piscina,2021-07-20 10:35:02,false,"Natação em piscina","1,525","258","00:26:21","--","--","--","1:38","0:51","--","--","0.00","0.0","0.0","0.0","0.0","0.0","675","36","27","0:00","27.0","0:00","Não","00:14.54","6","0.0","00:24:53","00:26:39"
Natação em piscina,2021-07-16 17:45:44,false,"Natação em piscina","3,275","580","01:03:03","--","--","--","1:40","0:49","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1438","36","26","0:00","30.0","0:00","Não","00:07.30","26","0.0","00:54:24","01:03:50"
Natação em piscina,2021-07-14 18:00:29,false,"Natação em piscina","4,250","739","01:24:35","--","--","--","1:43","0:53","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1857","37","26","0:00","30.0","0:00","Não","00:09.19","22","0.0","01:12:42","01:25:47"
Natação em piscina,2021-07-13 17:46:48,false,"Natação em piscina","3,600","626","01:14:27","--","--","--","1:36","1:03","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1502","34","26","0:00","30.0","0:00","Não","00:13.15","56","0.0","00:57:26","01:17:13"
Natação em piscina,2021-07-12 13:35:20,false,"Natação em piscina","1,575","261","00:30:17","--","--","--","1:49","1:12","--","--","0.00","0.0","0.0","0.0","0.0","0.0","693","38","24","0:00","30.0","0:00","Não","30:17.36","1","0.0","00:28:36","00:31:34"
Natação em alto mar,2021-07-11 09:20:20,false,"Serra Negra Natação em alto mar","1,319","251","00:27:42","--","--","--","2:06","0:19","--","--","0.00","0.0","0.0","0.0","0.0","0.0","949","49","34","0:00","16.0","0:00","Não","08:22.35","3","0.0","00:27:41","00:27:42"
Natação em piscina,2021-07-08 17:15:05,false,"Natação em piscina","2,975","532","01:04:44","--","--","--","1:45","0:52","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1295","37","25","0:00","30.0","0:00","Não","00:05.87","26","0.0","00:52:16","01:11:52"
Natação em piscina,2021-07-07 13:06:40,false,"Natação em piscina","2,300","412","00:42:00","--","--","--","1:33","0:50","--","--","0.00","0.0","0.0","0.0","0.0","0.0","957","34","27","0:00","30.0","0:00","Não","00:02.87","18","0.0","00:35:37","00:46:26"
Natação em piscina,2021-07-02 16:48:57,false,"Natação em piscina","4,325","803","01:20:56","--","--","--","1:35","0:51","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1892","35","28","0:00","27.0","0:00","Não","00:13.31","20","0.0","01:08:09","01:21:06"
Natação em piscina,2021-06-29 16:06:29,false,"Natação em piscina","4,200","781","01:24:43","--","--","--","1:34","0:45","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1765","34","27","0:00","28.0","0:00","Não","00:01.05","42","0.0","01:05:38","01:27:54"
Natação em piscina,2021-06-28 12:00:17,false,"Natação em piscina","3,875","708","01:14:23","--","--","--","1:33","0:51","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1638","34","27","0:00","31.0","0:00","Não","00:12.54","70","0.0","01:00:11","01:15:28"
Natação em piscina,2021-06-22 17:51:34,false,"Natação em piscina","3,550","654","01:09:09","--","--","--","1:32","0:59","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1582","34","29","0:00","30.0","0:00","Não","00:01.35","31","0.0","00:54:24","01:12:01"
Natação em piscina,2021-06-21 13:00:10,false,"Natação em piscina","3,000","524","01:08:22","--","--","--","1:36","1:10","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1297","35","27","0:00","30.0","0:00","Não","00:03.61","34","0.0","00:47:59","01:08:34"
Natação em piscina,2021-06-20 12:02:06,false,"Natação em piscina","2,325","397","00:47:22","--","--","--","1:41","0:52","--","--","0.00","0.0","0.0","0.0","0.0","0.0","975","36","25","0:00","31.0","0:00","Não","00:07.78","44","0.0","00:39:06","00:48:03"
Natação em piscina,2021-06-17 17:35:57,false,"Natação em piscina","2,200","373","00:44:35","--","--","--","1:38","1:18","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1013","36","28","0:00","30.0","0:00","Não","01:43.43","6","0.0","00:35:55","00:49:46"
Natação em piscina,2021-06-16 17:51:03,false,"Natação em piscina","4,550","822","01:37:31","--","--","--","1:34","1:00","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1970","34","28","0:00","30.0","0:00","Não","00:12.01","49","0.0","01:11:27","01:38:00"
Natação em piscina,2021-06-15 17:19:17,false,"Natação em piscina","4,500","811","01:33:29","--","--","--","1:39","0:53","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1934","36","26","0:00","30.0","0:00","Não","00:03.16","68","0.0","01:14:31","01:34:05"
Natação em alto mar,2021-06-14 10:00:06,false,"Guarujá Natação em alto mar","1,401","265","00:32:31","--","--","--","2:19","0:11","--","--","0.00","0.0","0.0","0.0","0.0","0.0","955","52","29","0:00","23.0","0:00","Não","09:11.75","3","0.0","00:29:38","00:32:31"
Natação em piscina,2021-06-11 17:44:07,false,"Natação em piscina","1,500","254","00:38:07","--","--","--","1:42","1:17","--","--","0.00","0.0","0.0","0.0","0.0","0.0","693","37","27","0:00","28.0","0:00","Não","00:11.16","24","0.0","00:25:23","00:38:15"
Natação em piscina,2021-06-08 16:43:37,false,"Natação em piscina","3,200","531","01:09:14","--","--","--","1:42","1:22","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1450","37","27","0:00","28.0","0:00","Não","00:03.39","32","0.0","00:54:09","01:09:39"
Natação em piscina,2021-06-07 17:27:05,false,"Natação em piscina","1,375","245","00:55:17","--","--","--","1:48","0:39","--","--","0.00","0.0","0.0","0.0","0.0","0.0","538","36","25","0:00","30.0","0:00","Não","00:00.41","7","0.0","00:24:39","01:01:20"
Natação em piscina,2021-06-05 13:21:24,false,"Natação em piscina","5,000","888","01:38:50","--","--","--","1:37","0:50","--","--","0.00","0.0","0.0","0.0","0.0","0.0","2219","35","27","0:00","30.0","0:00","Não","00:08.17","56","0.0","01:21:00","01:42:37"
Natação em piscina,2021-06-04 18:11:24,false,"Natação em piscina","4,550","790","01:30:54","--","--","--","1:37","0:48","--","--","0.00","0.0","0.0","0.0","0.0","0.0","2012","35","27","0:00","30.0","0:00","Não","00:17.100","51","0.0","01:13:23","01:31:10"
Natação em piscina,2021-06-01 16:49:29,false,"Natação em piscina","5,025","876","01:49:01","--","--","--","1:39","0:59","--","--","0.00","0.0","0.0","0.0","0.0","0.0","2132","35","26","0:00","30.0","0:00","Não","00:03.55","84","0.0","01:22:54","01:50:40"
Natação em piscina,2021-05-28 12:06:01,false,"Natação em piscina","4,025","707","01:24:39","--","--","--","1:41","0:58","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1735","36","26","0:00","30.0","0:00","Não","00:03.93","52","0.0","01:07:30","01:25:03"
Natação em piscina,2021-05-25 16:25:05,false,"Natação em piscina","4,300","779","01:25:04","--","--","--","1:31","0:48","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1799","33","28","0:00","25.0","0:00","Não","00:14.92","56","0.0","01:05:14","01:25:28"
Natação em piscina,2021-05-24 12:23:08,false,"Natação em piscina","4,225","751","01:31:14","--","--","--","1:37","0:50","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1833","35","27","0:00","30.0","0:00","Não","00:08.15","66","0.0","01:08:02","01:31:23"
Natação em piscina,2021-05-23 09:48:40,false,"Natação em piscina","3,650","656","01:08:25","--","--","--","1:35","0:53","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1638","35","28","0:00","30.0","0:00","Não","00:16.18","14","0.0","00:57:51","01:08:55"
Natação em piscina,2021-05-19 12:27:53,false,"Natação em piscina","3,500","639","01:13:38","--","--","--","1:33","0:59","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1525","34","28","0:00","30.0","0:00","Não","00:10.64","133","0.0","00:53:59","01:13:52"
Natação em piscina,2021-05-18 11:52:02,false,"Natação em piscina","2,150","372","00:44:16","--","--","--","1:37","0:54","--","--","0.00","0.0","0.0","0.0","0.0","0.0","929","35","27","0:00","30.0","0:00","Não","00:07.97","30","0.0","00:34:47","00:44:38"
Natação em piscina,2021-05-17 12:28:39,false,"Natação em piscina","4,000","705","01:36:17","--","--","--","1:36","0:50","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1743","35","27","0:00","31.0","0:00","Não","00:02.77","92","0.0","01:04:12","01:36:27"
Natação em piscina,2021-05-15 12:28:32,false,"Natação em piscina","2,000","328","00:38:48","--","--","--","1:50","1:30","--","--","0.00","0.0","0.0","0.0","0.0","0.0","891","39","24","0:00","31.0","0:00","Não","00:05.66","14","0.0","00:36:40","00:40:53"
Natação em piscina,2021-05-14 13:03:45,false,"Natação em piscina","2,000","342","00:41:55","--","--","--","1:40","1:14","--","--","0.00","0.0","0.0","0.0","0.0","0.0","853","36","26","0:00","31.0","0:00","Não","00:01.06","35","0.0","00:33:12","01:12:14"
Natação em piscina,2021-05-12 12:39:46,false,"Natação em piscina","3,175","580","01:19:03","--","--","--","1:39","0:51","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1325","35","25","0:00","30.0","0:00","Não","00:07.40","96","0.0","00:52:36","01:19:17"
Natação em piscina,2021-05-06 12:43:44,false,"Natação em piscina","2,025","365","00:46:51","--","--","--","1:34","0:52","--","--","0.00","0.0","0.0","0.0","0.0","0.0","925","35","29","0:00","30.0","0:00","Não","00:02.98","68","0.0","00:31:42","00:47:05"
Natação em piscina,2021-05-05 12:37:29,false,"Natação em piscina","3,675","640","01:14:25","--","--","--","1:38","0:49","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1665","36","28","0:00","29.0","0:00","Não","00:12.16","36","0.0","00:59:50","01:14:43"
Natação em piscina,2021-05-04 16:22:14,false,"Natação em piscina","2,125","376","00:43:37","--","--","--","1:35","1:11","--","--","0.00","0.0","0.0","0.0","0.0","0.0","870","34","26","0:00","30.0","0:00","Não","00:02.91","42","0.0","00:33:29","00:44:09"
Natação em piscina,2021-05-03 12:05:58,false,"Natação em piscina","3,375","633","01:11:31","--","--","--","1:33","0:52","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1449","34","28","0:00","30.0","0:00","Não","00:04.18","50","0.0","00:52:23","01:29:37"
Natação em piscina,2021-04-29 13:09:03,false,"Natação em piscina","3,500","619","01:07:32","--","--","--","1:33","0:50","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1545","34","28","0:00","30.0","0:00","Não","00:07.76","64","0.0","00:54:23","01:07:46"
Natação em piscina,2021-04-27 13:19:49,false,"Natação em piscina","3,000","511","00:56:54","--","--","--","1:39","1:15","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1362","36","28","0:00","30.0","0:00","Não","00:05.75","46","0.0","00:49:17","00:57:09"
Natação em piscina,2021-04-26 11:59:56,false,"Natação em piscina","3,075","535","00:59:14","--","--","--","1:34","0:49","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1418","35","29","0:00","30.0","0:00","Não","00:08.94","58","0.0","00:48:21","00:59:55"
Natação em piscina,2021-04-17 13:12:30,false,"Natação em piscina","880","154","00:14:42","--","--","--","1:40","1:34","--","--","0.00","0.0","0.0","0.0","0.0","0.0","444","60","30","0:00","22.0","0:00","Não","06:34.78","2","0.0","00:14:42","00:17:15"
Natação em piscina,2021-04-14 10:17:04,false,"Natação em piscina","3,560","632","00:59:17","--","--","--","1:32","0:33","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1552","54","28","0:00","22.0","0:00","Não","00:03.33","34","0.0","00:54:38","01:04:11"
Natação em piscina,2021-04-05 10:56:12,false,"Natação em piscina","3,000","525","01:03:20","--","--","--","1:49","1:31","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1498","64","27","0:00","24.0","0:00","Não","00:02.01","44","0.0","00:54:31","01:04:17"
Natação em piscina,2021-03-31 10:37:01,false,"Natação em piscina","3,720","653","01:14:06","--","--","--","1:39","1:12","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1774","59","29","0:00","27.0","0:00","Não","00:10.01","84","0.0","01:01:32","01:14:12"
Natação em piscina,2021-03-29 10:24:21,false,"Natação em piscina","5,050","915","01:23:58","--","--","--","1:22","0:27","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1963","61","28","0:00","27.0","0:00","Não","00:02.24","42","0.0","01:09:14","01:25:13"
Natação em piscina,2021-03-24 10:39:30,false,"Natação em piscina","5,150","927","01:31:16","--","--","--","1:19","0:29","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1918","58","28","0:00","27.0","0:00","Não","00:06.78","170","0.0","01:07:48","01:39:57"
Natação em piscina,2021-03-22 10:21:52,false,"Natação em piscina","5,600","1,021","01:27:08","--","--","--","1:23","0:24","--","--","0.00","0.0","0.0","0.0","0.0","0.0","2217","61","29","0:00","27.0","0:00","Não","00:03.39","48","0.0","01:17:05","01:27:23"
Natação em alto mar,2021-03-17 10:57:19,false,"Campinas Natação em alto mar","970","175","01:12:30","--","--","--","7:28","0:17","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1832","159","25","0:00","27.0","0:00","Não","00:06.19","7","0.0","00:57:27","01:12:30"
Natação em alto mar,2021-03-14 10:29:10,false,"Serra Negra Natação em alto mar","3,556","625","01:13:48","--","--","--","2:05","1:15","--","--","0.00","0.0","0.0","0.0","0.0","0.0","2175","46","29","0:00","24.0","0:00","Não","01:07.01","8","0.0","01:13:38","01:14:58"
Natação em piscina,2021-03-02 09:55:29,false,"Natação em piscina","2,975","506","01:05:10","--","--","--","1:45","1:01","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1299","37","25","0:00","29.0","0:00","Não","00:09.16","48","0.0","00:51:59","01:05:26"
Natação em piscina,2021-03-01 09:36:20,false,"Natação em piscina","4,400","796","01:23:49","--","--","--","1:32","0:54","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1970","34","29","0:00","29.0","0:00","Não","00:04.93","44","0.0","01:07:38","01:24:31"
Natação em piscina,2021-02-25 11:19:26,false,"Natação em piscina","1,500","249","00:28:51","--","--","--","1:55","0:54","--","--","0.00","0.0","0.0","0.0","0.0","0.0","646","40","22","0:00","28.0","0:00","Não","00:03.52","2","0.0","00:28:48","00:30:03"
Natação em piscina,2021-02-22 15:27:55,false,"Natação em piscina","3,800","704","01:40:38","--","--","--","1:27","0:56","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1649","33","30","0:00","30.0","0:00","Não","00:03.84","134","0.0","00:54:54","01:40:45"
Natação em piscina,2021-02-22 06:09:45,false,"Natação em piscina","4,000","656","01:11:11","--","--","--","1:42","1:29","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1734","36","25","0:00","28.0","0:00","Não","00:00.78","18","0.0","01:08:02","01:12:24"
Natação em alto mar,2021-02-20 07:18:08,false,"Serra Negra Natação em alto mar","2,068","365","00:39:27","--","--","--","1:54","1:26","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1305","44","33","0:00","25.0","0:00","Não","01:08.07","5","0.0","00:39:16","00:39:27"
Natação em alto mar,2021-02-19 17:41:12,false,"Serra Negra Natação em alto mar","3,009","508","01:13:47","--","--","--","2:27","0:50","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1803","52","24","0:00","27.0","0:00","Não","00:11.69","13","0.0","01:11:03","01:14:31"
Natação em piscina,2021-02-19 11:20:54,false,"Natação em piscina","4,625","760","01:15:55","--","--","--","1:36","0:50","--","--","0.00","0.0","0.0","0.0","0.0","0.0","2088","35","28","0:00","29.0","0:00","Não","01:47.56","3","0.0","01:14:08","01:22:32"
Natação em piscina,2021-02-18 16:29:28,false,"Natação em piscina","3,400","545","01:13:33","--","--","--","1:37","1:00","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1540","36","28","0:00","30.0","0:00","Não","00:03.43","72","0.0","00:55:14","01:13:54"
Natação em alto mar,2021-02-17 07:19:49,false,"Serra Negra Natação em alto mar","1,614","277","00:29:05","--","--","--","1:48","1:24","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1015","43","34","0:00","24.0","0:00","Não","01:52.76","4","0.0","00:29:05","00:29:05"
Natação em piscina,2021-02-13 12:29:01,false,"Natação em piscina","1,100","177","00:21:30","--","--","--","1:51","1:33","--","--","0.00","0.0","0.0","0.0","0.0","0.0","512","39","25","0:00","31.0","0:00","Não","00:06.16","4","0.0","00:20:19","00:21:48"
Natação em piscina,2021-02-12 10:19:27,false,"Natação em piscina","3,025","487","01:00:05","--","--","--","1:35","0:59","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1327","35","28","0:00","30.0","0:00","Não","00:18.48","26","0.0","00:47:50","01:00:21"
Natação em piscina,2021-02-10 06:35:22,false,"Natação em piscina","2,350","387","01:09:20","--","--","--","1:42","1:08","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1083","37","27","0:00","29.0","0:00","Não","00:05.62","66","0.0","00:39:57","01:09:26"
Natação em piscina,2021-02-09 17:24:42,false,"Natação em piscina","3,000","490","01:07:12","--","--","--","1:38","0:47","--","--","0.00","0.0","0.0","0.0","0.0","0.0","1285","35","26","0:00","31.0","0:00","Não","00:13.61","48","0.0","00:49:02","01:07:37"
